Product Mix Report - Chumley's ,,,,,,,,,,,,,,
01-01-2024 to 12-31-2024,,,,,,,,,,,,,,
Type,Name,Sold,Void,Comp,Price,Cost,Gross,Comps,Total Tax,Net,Gross Profit,Receipt Total,Category Name,Identifier
Category,Bottle Beer,4881,27,2,7.34,0,35840,539,0,35301,35301,35301,,
Category,Cover Charges,25,0,0,1.84,0,46,0,0,46,46,46,,
Category,Draft Beer,10534,55,3,7.16,0,75411.5,1910,0,73501.5,73501.5,73501.5,,
Category,Food Total,6280,48,348,11.7,0,71887.05,8761.41,3349.24,59776.4,59776.4,63125.64,,
Category,Beverage,1118,15,1,3.63,0,4302.39,90.91,238.85,3972.63,3972.63,4211.48,Food,
Category,Food (Other),5162,33,347,11.7,0,67584.66,8670.5,3110.39,55803.77,55803.77,58914.16,Food,
Category,Gift Card,37,1,1,47.37,0,375,375,0,0,0,1425,,
Category,Liquor,39665,200,36,11.03,3183,438059.5,10882,0,427177.5,423994.5,427177.5,,
Category,Retail Nontax,86,0,0,21.98,0,1890,118,0,1772,1772,1772,,
Category,Retail Taxable,61,0,0,0.94,0,60.93,0,3.59,57.34,57.34,60.93,,
Category,Wine Total,2679,18,6,9.37,0,25155.5,983,0,24172.5,24172.5,24172.5,,
Category,Wine (Other),2679,18,6,9.37,0,25155.5,983,0,24172.5,24172.5,24172.5,Wine,
Item,"CH Tin, Trout Capers",3,0,0,21,0,66.78,0,3.78,63,63,66.78,Food,
Item,CH Reuben Melt,235,3,25,11.82,0,3228.25,485.5,155.25,2587.5,2587.5,2742.75,Food,
Item,Laphroaig 10,25,1,0,14.48,0,362,0,0,362,362,362,Liquor,
Item,CH Jello,29,0,4,10.94,0,377.74,82,16.74,279,279,295.74,Food,
Item,Espresso,0,4,0,0,0,0,0,0,0,0,0,Beverage,
Item,CH Granita,11,0,0,7,0,81.62,0,4.62,77,77,81.62,Food,
Item,$5 Cover Charge,4,0,0,5,0,20,0,0,20,20,20,Cover Charges,
Item,CH Soup with Pecans,101,0,4,9.98,0,1105.84,84,57.84,964,964,1021.84,Food,
Item,Xmas N/A Hot Choc,54,0,0,5,0,286.2,0,16.2,270,270,286.2,Beverage,
Item,Drumshanbo,148,1,0,15.68,0,2321,51,0,2270,2270,2270,Liquor,
Item,Amaro Flight,5,0,0,9.8,0,49,10,0,39,39,39,Liquor,
Item,Hibiki,25,0,0,18.12,0,453,0,0,453,453,453,Liquor,
Item,CH Badenburg Pretzel,61,1,7,12.93,0,923.37,126.5,44.37,752.5,752.5,796.87,Food,
Item,CH Olives,135,0,11,12.38,0,1901.62,230,94.62,1577,1577,1671.62,Food,
Item,Irish Orange,113,1,0,12,0,1356,0,0,1356,1356,1356,Liquor,
Item,Forbidden Chimney,3,0,0,15,0,45,0,0,45,45,45,Liquor,
Item,French 75,229,7,0,13.01,0,2980,78,0,2902,2902,2902,Liquor,
Item,Michter's Bourbon,18,0,0,12.67,0,228,11,0,217,217,217,Liquor,
Item,CH Tartine,39,0,2,8.29,0,358,40,18,300,300,318,Food,
Item,Brokers,13,0,0,10.77,0,140,0,0,140,140,140,Liquor,
Item,Midori,2,0,0,12,0,24,0,0,24,24,24,Liquor,
Item,CH Croissant,133,0,15,14.21,0,2206.53,377.5,103.53,1725.5,1725.5,1829.03,Food,
Item,Sidecar,111,0,0,13.08,0,1452,13,0,1439,1439,1439,Liquor,
Item,CH Gochujang Shrimp,9,0,0,7.44,0,71.02,0,4.02,67,67,71.02,Food,
Item,Del Maguey Vida,135,1,0,11.76,0,1588,39,0,1549,1549,1549,Liquor,
Item,Cardamaro,11,0,0,9.73,0,107,0,0,107,107,107,Liquor,
Item,Bottle Cremant dâ€™Alsace,3,0,0,64,0,192,64,0,128,128,128,Wine,
Item,Godfather,29,0,0,15,0,435,15,0,420,420,420,Liquor,
Item,Whistle Pig,120,0,0,22.42,0,2690,23,0,2667,2667,2667,Liquor,
Item,CH Mac Cheese,164,1,11,11.01,0,2024.76,280,98.76,1646,1646,1744.76,Food,
Item,"CH Tin, Spicy Mussels",5,0,0,14,0,73.36,14,3.36,56,56,59.36,Food,
