Sales Report - Chumley's ,,,,,,,,,,,,,,,
01-01-2024 to 12-31-2024,,,,,,,,,,,,,,,
Sales,,,,,,,,,,,,,,,
,Amount,,,,,,,,,,,,,,
Receipts,626582.07,,,,,,,,,,,,,,
Gross,648725.48,,,,,,,,,,,,,,
Gross without Tax,645372.65,,,,,,,,,,,,,,
Net,621804.24,,,,,,,,,,,,,,
Tax,,,,,,,,,,,,,,,
,Name,Amount,,,,,,,,,,,,,
Exclusive,Sales Tax,3352.83,,,,,,,,,,,,,
Exclusive,Zero Tax,0,,,,,,,,,,,,,
Inclusive,Zero Tax,0,,,,,,,,,,,,,
Inclusive,Sales Tax,0,,,,,,,,,,,,,
Tax Total,,,,,,,,,,,,,,,
,Amount,,,,,,,,,,,,,,
Tax on Comps,0,,,,,,,,,,,,,,
Total Tax,3352.83,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Tax Exempt,,,,,,,,,,,,,,,
,Amount,,,,,,,,,,,,,,
Total Tax Exempt Sales,4166.29,,,,,,,,,,,,,,
Non Revenue Receipts,,,,,,,,,,,,,,,
,Amount,,,,,,,,,,,,,,
Gift Cards,1425,,,,,,,,,,,,,,
Deposits,0,,,,,,,,,,,,,,
Fees,0,,,,,,,,,,,,,,
Sales Chart,,,,,,,,,,,,,,,
Day Part,Gross,Net,,,,,,,,,,,,,
None,12999.29,12373.78,,,,,,,,,,,,,
2pm to 3pm,1093.92,990.46,,,,,,,,,,,,,
3pm to 4pm,3022.98,2643.33,,,,,,,,,,,,,
4pm to 5pm,61163.69,58451.85,,,,,,,,,,,,,
5pm to 6pm,82000.53,76896.39,,,,,,,,,,,,,
6pm to 7pm,93033.06,88359.29,,,,,,,,,,,,,
7pm to 8pm,92543.19,87870.46,,,,,,,,,,,,,
8pm to 9pm,94886.8,90587.69,,,,,,,,,,,,,
9pm to 10pm,78231.27,76829.67,,,,,,,,,,,,,
10pm to 11pm,61670.58,60429.08,,,,,,,,,,,,,
11pm to12am,39394.75,38835.53,,,,,,,,,,,,,
12am to 1am,23990.86,23331.27,,,,,,,,,,,,,
1am to 2am,4638.56,4192.44,,,,,,,,,,,,,
2am to 3am,56,13,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Metrics,,,,,,,,,,,,,,,
Day Part,Guest,Checks,Guest Avg,Check Avg,Turns per Table,,,,,,,,,,
None,531,537,23.55,23.28,0.48,,,,,,,,,,
2pm to 3pm,81,81,12.23,12.23,0,,,,,,,,,,
3pm to 4pm,144,144,18.88,18.88,0.04,,,,,,,,,,
4pm to 5pm,1986,1994,29.61,29.49,1.39,,,,,,,,,,
5pm to 6pm,2906,2929,26.55,26.34,1.52,,,,,,,,,,
6pm to 7pm,3169,3211,27.91,27.55,2.65,,,,,,,,,,
7pm to 8pm,3475,3511,25.32,25.06,3.04,,,,,,,,,,
8pm to 9pm,3823,3876,23.71,23.39,3.48,,,,,,,,,,
9pm to 10pm,3501,3564,22.03,21.64,4.13,,,,,,,,,,
10pm to 11pm,2886,2952,20.96,20.49,3.3,,,,,,,,,,
11pm to12am,2121,2153,18.31,18.04,1.7,,,,,,,,,,
12am to 1am,1365,1398,17.09,16.69,1.3,,,,,,,,,,
1am to 2am,291,304,14.41,13.79,0.61,,,,,,,,,,
2am to 3am,7,7,1.86,1.86,0.04,,,,,,,,,,
,,,,,,,,,,,,,,,
Metrics Chart,,,,,,,,,,,,,,,
Trading Day,Total Guests,Total Checks,Guest Avg,Check Avg,Turns per Table,,,,,,,,,,
1/2/2024,44,44,21.39,21.39,0,,,,,,,,,,
1/3/2024,27,27,33.44,33.44,0,,,,,,,,,,
1/4/2024,46,46,28.78,28.78,0,,,,,,,,,,
1/5/2024,91,92,26.39,26.11,0.04,,,,,,,,,,
1/6/2024,33,33,27.11,27.11,0,,,,,,,,,,
1/7/2024,15,15,18.37,18.37,0,,,,,,,,,,
1/8/2024,16,16,26.56,26.56,0,,,,,,,,,,
1/9/2024,39,39,29.62,29.62,0,,,,,,,,,,
1/10/2024,78,78,23.13,23.13,0,,,,,,,,,,
1/11/2024,79,79,24.33,24.33,0,,,,,,,,,,
1/12/2024,134,134,24.47,24.47,0,,,,,,,,,,
1/13/2024,107,107,22.23,22.23,0,,,,,,,,,,
1/14/2024,49,49,21.12,21.12,0,,,,,,,,,,
1/15/2024,24,24,19.25,19.25,0,,,,,,,,,,
1/16/2024,45,49,20.48,18.81,0.17,,,,,,,,,,
1/17/2024,53,53,20.14,20.14,0,,,,,,,,,,
1/18/2024,64,64,18.37,18.37,0,,,,,,,,,,
1/19/2024,79,79,28.1,28.1,0,,,,,,,,,,
1/20/2024,112,112,25.69,25.69,0,,,,,,,,,,
1/21/2024,38,38,16.58,16.58,0,,,,,,,,,,
1/22/2024,37,37,21.05,21.05,0,,,,,,,,,,
1/23/2024,60,60,22.52,22.52,0,,,,,,,,,,
1/24/2024,69,71,25.48,24.76,0.04,,,,,,,,,,
1/25/2024,94,94,22.65,22.65,0,,,,,,,,,,
1/26/2024,153,154,26.42,26.24,0.04,,,,,,,,,,
1/27/2024,113,113,26.4,26.4,0,,,,,,,,,,
1/28/2024,20,20,21.2,21.2,0,,,,,,,,,,
1/29/2024,37,37,21.61,21.61,0,,,,,,,,,,
1/30/2024,82,84,17.53,17.11,0.09,,,,,,,,,,
1/31/2024,78,78,25.16,25.16,0,,,,,,,,,,
2/1/2024,119,119,20.52,20.52,0,,,,,,,,,,
2/2/2024,139,139,23.73,23.73,0,,,,,,,,,,
2/3/2024,94,94,26.59,26.59,0,,,,,,,,,,
2/4/2024,29,29,28.03,28.03,0,,,,,,,,,,
2/5/2024,43,43,24.36,24.36,0,,,,,,,,,,
2/6/2024,47,47,28.23,28.23,0,,,,,,,,,,
2/7/2024,72,73,24.72,24.38,0,,,,,,,,,,
2/8/2024,85,89,23.87,22.8,0.04,,,,,,,,,,
2/9/2024,164,165,21.82,21.69,0.04,,,,,,,,,,
2/10/2024,130,130,21.87,21.87,0,,,,,,,,,,
2/11/2024,20,20,32.35,32.35,0,,,,,,,,,,
2/12/2024,47,47,22.47,22.47,0,,,,,,,,,,
2/13/2024,109,114,29.51,28.22,0.22,,,,,,,,,,
2/14/2024,74,76,23.67,23.05,0.09,,,,,,,,,,
2/15/2024,79,84,21.5,20.22,0.26,,,,,,,,,,
2/16/2024,139,142,24.55,24.04,0.13,,,,,,,,,,
2/17/2024,109,111,25.92,25.45,0.09,,,,,,,,,,
2/18/2024,31,31,32.89,32.89,0,,,,,,,,,,
2/19/2024,34,34,18.47,18.47,0,,,,,,,,,,
2/20/2024,59,64,20.25,18.67,0.3,,,,,,,,,,
2/21/2024,53,53,23.38,23.38,0.04,,,,,,,,,,
2/22/2024,110,111,17.38,17.22,0.04,,,,,,,,,,
2/23/2024,166,167,22.83,22.7,0.04,,,,,,,,,,
2/24/2024,130,130,26.07,26.07,0,,,,,,,,,,
2/25/2024,32,32,22.77,22.77,0,,,,,,,,,,
2/26/2024,20,20,21.6,21.6,0,,,,,,,,,,
2/27/2024,86,86,27.58,27.58,0,,,,,,,,,,
2/28/2024,63,63,19.84,19.84,0,,,,,,,,,,
2/29/2024,66,66,24.05,24.05,0,,,,,,,,,,
3/1/2024,164,164,22.94,22.94,0,,,,,,,,,,
3/2/2024,139,140,20.94,20.79,0.04,,,,,,,,,,
3/3/2024,31,31,23.58,23.58,0,,,,,,,,,,
3/4/2024,24,24,26.21,26.21,0,,,,,,,,,,
3/5/2024,35,36,24.81,24.13,0.04,,,,,,,,,,
3/6/2024,52,52,16.78,16.78,0,,,,,,,,,,
3/7/2024,60,60,25.25,25.25,0,,,,,,,,,,
3/8/2024,90,90,23.02,23.02,0,,,,,,,,,,
3/9/2024,55,58,31.51,29.88,0.13,,,,,,,,,,
3/10/2024,15,15,26.55,26.55,0,,,,,,,,,,
3/11/2024,46,46,18.5,18.5,0,,,,,,,,,,
3/12/2024,73,73,22.88,22.88,0,,,,,,,,,,
3/13/2024,34,34,27.91,27.91,0,,,,,,,,,,
3/14/2024,98,98,21.91,21.91,0,,,,,,,,,,
3/15/2024,178,178,20.13,20.13,0,,,,,,,,,,
3/16/2024,138,138,25.66,25.66,0,,,,,,,,,,
3/17/2024,20,20,28.83,28.83,0,,,,,,,,,,
3/18/2024,29,30,17.76,17.17,0,,,,,,,,,,
3/19/2024,49,49,22.85,22.85,0,,,,,,,,,,
3/20/2024,53,53,24.75,24.75,0,,,,,,,,,,
3/21/2024,131,132,19.03,18.89,0.09,,,,,,,,,,
3/22/2024,174,174,20.41,20.41,0,,,,,,,,,,
3/23/2024,121,121,24.55,24.55,0,,,,,,,,,,
3/24/2024,18,19,29.67,28.11,0.09,,,,,,,,,,
3/25/2024,61,61,19.46,19.46,0,,,,,,,,,,
3/26/2024,62,67,26.1,24.15,0.26,,,,,,,,,,
3/27/2024,74,75,24.91,24.58,0.04,,,,,,,,,,
3/28/2024,89,89,21.59,21.59,0,,,,,,,,,,
3/29/2024,118,118,21.1,21.1,0,,,,,,,,,,
3/30/2024,94,94,20,20,0,,,,,,,,,,
3/31/2024,1,1,0,0,0,,,,,,,,,,
4/1/2024,33,33,29.53,29.53,0,,,,,,,,,,
4/2/2024,80,80,22.51,22.51,0.04,,,,,,,,,,
4/3/2024,78,80,18.04,17.58,0,,,,,,,,,,
4/4/2024,99,99,21.99,21.99,0,,,,,,,,,,
4/5/2024,159,159,24.95,24.95,0,,,,,,,,,,
4/6/2024,117,117,26.31,26.31,0,,,,,,,,,,
4/7/2024,31,31,17.2,17.2,0,,,,,,,,,,
