Product Mix Report - Chumley's ,,,,,,,,,,,,,,
01-01-2025 to 12-31-2025,,,,,,,,,,,,,,
Type,Name,Sold,Void,Comp,Price,Cost,Gross,Comps,Total Tax,Net,Gross Profit,Receipt Total,Category Name,Identifier
Category,Bottle Beer,4319,20,2,7.48,0,32334,534,0,31800,31800,31800,,
Category,Cover Charges,16,0,0,4.25,0,68,0,0,68,68,68,,
Category,Draft Beer,10118,47,10,7.06,0,71544.3,1223,0,70321.3,70321.3,70321.3,,
Category,Food Total,6117,60,144,14.18,0,80071.5,10364.77,3725.99,65980.74,65980.74,69706.73,,
Category,Beverage,1196,22,4,3.82,0,4852.25,169.27,265.24,4417.74,4417.74,4682.98,Food,
Category,Food (Other),4921,38,140,14.18,0,75219.25,10195.5,3460.75,61563,61563,65023.75,Food,
Category,Gift Card,16,1,0,75.94,0,175,175,0,0,0,1040,,
Category,Liquor,37118,204,26,11.36,0,421824,9025,0,412799,412799,412799,,
Category,ROA/DEPOSITS,30,4,0,6.07,0,0,0,0,0,0,182,,
Category,Retail Nontax,58,0,0,22.76,0,1320,104,0,1216,1216,1216,,
Category,Wine Total,2638,16,3,9.36,0,24719,765.5,0,23953.5,23953.5,23953.5,,
Category,Wine (Other),2638,16,3,9.36,0,24719,765.5,0,23953.5,23953.5,23953.5,Wine,
Item,"CH Tin, Trout Capers",3,0,0,21,0,66.78,0,3.78,63,63,66.78,Food,
Item,Laphroaig 10,16,1,0,17.81,0,285,32,0,253,253,253,Liquor,
Item,CH Granita,1,0,0,7,0,7,7,0,0,0,0,Food,
Item,$5 Cover Charge,10,0,0,5,0,50,0,0,50,50,50,Cover Charges,
Item,LA Venenosa Raicilla,2,0,0,21,0,42,0,0,42,42,42,Liquor,
Item,Fundraiser Croissant x2,11,0,0,5,0,0,0,0,0,0,55,ROA/DEPOSITS,
Item,Xmas N/A Hot Choc,90,0,0,5.56,0,529.64,6,29.64,494,494,523.64,Beverage,
Item,Drumshanbo,145,1,0,15.74,0,2283,27,0,2256,2256,2256,Liquor,
Item,Hibiki,22,0,0,21.82,0,480,18,0,462,462,462,Liquor,
Item,CH Badenburg Pretzel,90,0,2,11.87,0,1148.79,145.5,56.79,946.5,946.5,1003.29,Food,
Item,French 75,139,0,1,13.04,0,1825,39,0,1786,1786,1786,Liquor,
Item,Whitley Neill Quince Gin,6,0,0,13,0,78,0,0,78,78,78,Liquor,
Item,Michter's Bourbon,12,0,0,14.17,0,170,25,0,145,145,145,Liquor,
Item,Midori,13,0,0,11.85,0,154,0,0,154,154,154,Liquor,
Item,"CH Tin, Trout in Curry",7,0,0,21,0,155.82,0,8.82,147,147,155.82,Food,
Item,CH Croissant,32,0,1,12.18,0,422.73,56.5,20.73,345.5,345.5,366.23,Food,
Item,D/ Brooklyn Brown Ale,40,0,0,8,0,320,8,0,312,312,312,Draft Beer,
Item,Dr Quinquina,92,0,0,13,0,1196,13,0,1183,1183,1183,Liquor,
Item,25 Tuna Tatami PP @ 2.00/ea,0,1,0,0,0,0,0,0,0,0,0,ROA/DEPOSITS,
Item,Sisu Strawberry Negroni,283,1,0,17.24,0,4879,276,0,4603,4603,4603,Liquor,
Item,Sidecar,40,1,0,14.35,0,574,15,0,559,559,559,Liquor,
Item,CH Gochujang Shrimp,43,0,0,16,0,724.96,72,36.96,616,616,652.96,Food,
Item,Del Maguey Vida,192,0,0,13.36,0,2566,180,0,2386,2386,2386,Liquor,
Item,N/A Oyster,3,0,0,6,0,18,18,0,0,0,0,Liquor,
Item,Irish Stinger,59,0,0,12,0,708,12,0,696,696,696,Liquor,
Item,Cardamaro,7,0,0,10.57,0,74,13,0,61,61,61,Liquor,
Item,Godfather,4,0,0,15,0,60,0,0,60,60,60,Liquor,
Item,Ch Potato Salad,19,0,0,8,0,157.52,60,5.52,92,92,97.52,Food,
Item,CH Sirloin,29,0,0,21,0,639.87,94.5,30.87,514.5,514.5,545.37,Food,
Item,"CH Tin, Spicy Mussels",1,0,0,14,0,14.84,0,0.84,14,14,14.84,Food,
