Date (EST),Average Temp (F),Max Temp (F),Min Temp (F),24 Hour Precip (in),Max Wind Gust
2024-01-02,31.48,32,30.2,,23
2024-01-03,33.07,35.6,32,,20.7
2024-01-04,30.21,33.8,23,,23
2024-01-05,27.73,35.6,23,,
2024-01-06,26.69,32,21.2,,
2024-01-07,33.1,35.6,28.4,0.01,23
2024-01-08,35.33,37.4,33.8,0.03,23
2024-01-09,39.7,48.2,32,0.07,28.8
2024-01-10,37.23,42.8,33.8,,38
2024-01-11,37.71,42.8,33.8,,28.8
2024-01-12,36.09,41,30.2,0.06,26.5
2024-01-13,32.53,37.4,26.6,0.04,44.9
2024-01-14,22.52,30.2,12.2,,39.1
2024-01-15,16.73,23,8.6,,
2024-01-16,17.54,19.4,10.4,,26.5
2024-01-17,12.47,17.6,6.8,,28.8
2024-01-18,23.62,30.2,12.2,,10.4
2024-01-19,23.14,26.6,17.6,,17.3
2024-01-20,15.88,19.4,10.4,,28.8
2024-01-21,21.5,26.6,15.8,,25.3
2024-01-22,22.78,32,6.8,,
2024-01-23,34.71,37.4,32,,
2024-01-24,36.93,42.8,32,0.02,
2024-01-25,40.78,44.6,37.4,0.11,
2024-01-26,51.48,62.6,44.6,0.1,27.6
2024-01-27,44.04,48.2,41,0.12,
2024-01-28,36.04,41,32,0.26,17.3
2024-01-29,34.43,35.6,32,,23
2024-01-30,33.23,35.6,32,,
2024-01-31,35.71,41,32,,
2024-02-01,39.27,44.6,35.6,,25.3
2024-02-02,38.96,42.8,33.8,,18.4
2024-02-03,35.04,42.8,28.4,,
2024-02-04,35.26,48.2,23,,
2024-02-05,31.03,35.6,26.6,,
2024-02-06,31.1,41,21.2,,
2024-02-07,34,46.4,21.2,,
2024-02-08,39.15,50,28.4,,
2024-02-09,50.63,60.8,39.2,,20.7
2024-02-10,51.75,60.8,44.6,,27.6
2024-02-11,39.67,46.4,30.2,,
2024-02-12,35.87,44.6,26.6,,
2024-02-13,34.27,41,30.2,,32.2
2024-02-14,29.8,33.8,25.3,,25.3
2024-02-15,29.34,39.2,17.6,,36.8
2024-02-16,32.65,37.4,27.9,,40.3
2024-02-17,25.55,30.2,18,,29.9
2024-02-18,26.53,35.6,16.9,,33.4
2024-02-19,31.74,39.2,26.1,,17.3
2024-02-20,30.16,41,19.4,,
2024-02-21,34.27,42.8,26.4,,
2024-02-22,34.66,39.2,32,0.1,
2024-02-23,40.92,53.6,33.3,0.04,
2024-02-24,33.49,41.4,25.7,,17.3
2024-02-25,32.3,44.6,19.4,,19.6
2024-02-26,45.41,59,32,,13.8
2024-02-27,47.03,57.2,37.4,0.11,16.1
2024-02-28,47.22,57.2,28,0.18,43.7
2024-02-29,28.86,33.8,24.8,,35.7
2024-03-01,36.47,46.4,22.5,0.01,20.7
2024-03-02,40.34,44.6,35.6,0.26,
2024-03-03,46.46,57.2,39.2,,
2024-03-04,53.24,64.4,39.2,,20.7
2024-03-05,49.86,52,46.4,,18.4
2024-03-06,50.67,53.6,48.2,0.12,
2024-03-07,46.96,57.2,38.3,0.07,18.4
2024-03-08,43.63,55.4,32,,15
